net,length_um
reset,515.71
net3,496.78
net1,486.675
net17,478.46
net27,475.04
net8,471.46
net7,468.5
net30,466.04
net36,464.38
net19,458.84
clk,458.71
net28,458.38
net29,455.89
net5,452.72
net10,448.76
net4,448.36
net16,448.16
net14,448.08
net11,444.27
net18,443.5
net15,443.2
net12,441.32
net26,438.76
net6,437.02
net37,436.48
net9,425.12
net25,423.82
net13,423.36
net23,422.98
net21,414.04
net20,412.12
net22,403.74
clknet_2_0__leaf_clk,138.03
_163_,132.56
clknet_2_3__leaf_clk,126.06
_142_,118.08
clknet_2_2__leaf_clk,116.7
_217_,98.62
_131_,95.38
_216_,95.04
clknet_0_clk,91.15
_086_,81.63
clknet_2_1__leaf_clk,81.08
_218_,78.54
_115_,77.26
_219_,75.7
_129_,75.1
_133_,72
_173_,71
_215_,64.76
_164_,64.3
_099_,64.22
_126_,62.22
_214_,61.58
_183_,58.05
master.state\[0\],56.66
_119_,55.8
_128_,54.18
_136_,52.56
_135_,49.9
_112_,49.86
_120_,49.84
net35,48.78
_122_,48.58
_082_,45.58
_197_,44.99
_147_,43.9
_098_,43.82
net31,42.24
_154_,40.42
_149_,40.18
net34,40.14
net32,38.28
_118_,38.1
_199_,36.86
_181_,36.04
_132_,35.92
_092_,35.48
_148_,34.68
_085_,33.26
_113_,32.52
_081_,32.28
_079_,30.84
_123_,29.18
_116_,28.36
_194_,26.98
_220_,26.22
slave.read_delay_cnt\[1\],26.13
_196_,26.12
_165_,25.16
_080_,24.92
_110_,24.82
_121_,24.56
_151_,24.52
master.RVALID,24.36
_186_,23.82
_167_,22.86
_105_,22.18
net180,22.18
_117_,21.98
_190_,21.82
_087_,21
_184_,20.84
_114_,20.64
_065_,20.5
slave.write_delay_cnt\[1\],19.54
_109_,19.36
_138_,18.94
_209_,18.78
_108_,18.59
master.state\[1\],18.56
_057_,18.5
_090_,18.46
_150_,17.86
_124_,17.46
_160_,17.44
net2,17.36
_139_,17.18
_094_,16.72
_175_,16.64
_156_,16.48
_031_,16.41
_127_,15.84
_158_,15.72
net176,15.1
_106_,14.96
_026_,14.76
net33,14.7
slave.write_delay_cnt\[0\],14.54
master.BVALID,14.52
_159_,13.98
_157_,13.96
_153_,13.86
_107_,13.52
_104_,13.42
_202_,12.935
_192_,12.92
net171,12.8
_097_,12.6
_055_,12.58
_191_,11.76
debug_pc[23],11.68
_089_,11.56
net146,11.44
net147,11.44
net148,11.44
net150,11.44
net151,11.44
net135,11.44
net155,11.44
net163,11.44
net138,11.44
net140,11.44
net142,11.44
net47,11.44
net52,11.44
net57,11.44
net59,11.44
net62,11.44
net67,11.44
net41,11.44
net68,11.44
net81,11.44
net82,11.44
net89,11.44
net98,11.44
net99,11.44
net72,11.44
net102,11.44
net113,11.44
net118,11.44
net121,11.44
net124,11.44
net127,11.44
net105,11.44
net109,11.44
debug_pc[22],11.22
debug_pc[24],11.22
_101_,11.2
debug_pc[18],11.1
debug_pc[19],11.1
debug_pc[20],11.1
debug_pc[21],11.1
_155_,11.06
_178_,10.8
net165,10.76
net166,10.76
_096_,10.66
_140_,10.62
_017_,10.28
